ascii                                     country  admin1  lat       long
Swift Current                             CA       11      50.28337  -107.80135
Sylvan Lake                               CA       01      52.31681  -114.0853
Taber                                     CA       01      49.78703  -112.14603
Temiskaming Shores                        CA       08      47.49376  -79.71529
Terrace                                   CA       02      54.51634  -128.60345
Terrebonne                                CA       10      45.70004  -73.64732
The Pas                                   CA       03      53.82509  -101.25413
Thompson                                  CA       03      55.7435   -97.85579
Thorold                                   CA       08      43.11682  -79.19958
Thunder Bay                               CA       08      48.38202  -89.25018
Timmins                                   CA       08      48.46686  -81.33312
Toronto                                   CA       08      43.70011  -79.4163
Trail                                     CA       02      49.09983  -117.70223
Trois-Rivieres                            CA       10      46.34515  -72.5477
Truro                                     CA       07      45.36685  -63.26538
Val-des-Monts                             CA       10      45.6501   -75.66604
Val-d'Or                                  CA       10      48.10018  -77.7828
Vancouver                                 CA       02      49.24966  -123.11934
Varennes                                  CA       10      45.68338  -73.43246
Vaudreuil-Dorion                          CA       10      45.40008  -74.03251
Vaughan                                   CA       08      43.8361   -79.49827
Vegreville                                CA       01      53.50015  -112.05182
Vernon                                    CA       02      50.25809  -119.26905
Victoria                                  CA       02      48.43294  -123.3693
Victoriaville                             CA       10      46.05007  -71.96579
Wainwright                                CA       01      52.83904  -110.85723
Wasaga Beach                              CA       08      44.5168   -80.01637
Waterloo                                  CA       08      43.4668   -80.51639
Welland                                   CA       08      42.98342  -79.24958
West End                                  CA       02      49.28333  -123.13333
Westlock                                  CA       01      54.15016  -113.86876
Westmount                                 CA       10      45.48341  -73.59918
Wetaskiwin                                CA       01      52.96683  -113.36869
Weyburn                                   CA       11      49.66675  -103.85109
Whistler                                  CA       02      50.1164   -122.96946
Whitecourt                                CA       01      54.15015  -115.68548
Whitehorse                                CA       12      60.71611  -135.05375
White Rock                                CA       02      49.01636  -122.8026
Williams Lake                             CA       02      52.14153  -122.14451
Windsor                                   CA       10      45.56678  -71.99909
Windsor                                   CA       08      42.30008  -83.01654
Winkler                                   CA       03      49.1817   -97.94104
Winnipeg                                  CA       03      49.8844   -97.14704
Woodstock                                 CA       08      43.13339  -80.7497
Yarmouth                                  CA       07      43.83345  -66.11557
Yellowknife                               CA       13      62.456    -114.35255
Yorkton                                   CA       11      51.2167   -102.46766
Beauceville                               CA       10      46.21785  -70.77873
Halifax                                   CA       07      44.64533  -63.57239
St. John's                                CA       05      47.56494  -52.70931
Quebec                                    CA       10      46.81228  -71.21454
Levis                                     CA       10      46.80326  -71.17793
Montmagny                                 CA       10      46.98043  -70.55493
Rimouski                                  CA       10      48.44879  -68.52396
Riviere-du-Loup                           CA       10      47.82699  -69.54243
Sydney                                    CA       07      46.1351   -60.1831
L'Ancienne-Lorette                        CA       10      46.79392  -71.35191
Edmundston                                CA       04      47.3737   -68.32512
Sainte Catherine de la Jacques Cartier    CA       10      46.85244  -71.62056
Baie-Saint-Paul                           CA       10      47.44109  -70.49858
Campbellton                               CA       04      48.00751  -66.67272
Bathurst                                  CA       04      47.61814  -65.65112
Matane                                    CA       10      48.82857  -67.52197
Paris                                     CA       08      43.2      -80.38333
Amqui                                     CA       10      48.46382  -67.43134
Chandler                                  CA       10      48.34935  -64.67926
Thetford-Mines                            CA       10      46.09371  -71.30539
Mont-Joli                                 CA       10      48.58388  -68.19214
La Malbaie                                CA       10      47.654    -70.15268
Sainte-Marie                              CA       10      46.43401  -71.01168
Plessisville                              CA       10      46.21856  -71.76201
Cole Harbour                              CA       07      44.67244  -63.47506
Okanagan                                  CA       02      50.36386  -119.34997
West Kelowna                              CA       02      49.8625   -119.58333
Bellechasse Regional County Municipality  CA       10      46.66667  -70.71667
Sydney Mines                              CA       07      46.23669  -60.21767
Jonquiere                                 CA       10      48.41648  -71.24884
Saint-Augustin-de-Desmaures               CA       10      46.74064  -71.45131
Donnacona                                 CA       10      46.68042  -71.7239
Ladner                                    CA       02      49.08938  -123.08241
Walnut Grove                              CA       02      49.16473  -122.64042
Aldergrove                                CA       02      49.05801  -122.47087
Ancaster                                  CA       08      43.21806  -79.98716
Shannon                                   CA       10      46.88026  -71.51464
Saint-Henri                               CA       10      46.69314  -71.06927
Saint-Lambert-de-Lauzon                   CA       10      46.58624  -71.20892
Pont-Rouge                                CA       10      46.75468  -71.69566
Princeville                               CA       10      46.17163  -71.87462
West Vancouver                            CA       02      49.36672  -123.16652
Willowdale                                CA       08      43.76672  -79.39909
Bay Minette                               US       AL      30.88296  -87.77305
Edna                                      US       TX      28.97859  -96.64609
Henderson                                 US       TX      32.15322  -94.79938
Fort Hunt                                 US       VA      38.73289  -77.05803
Trinity                                   US       FL      28.18085  -82.68177
Villas                                    US       FL      26.55035  -81.8687
Bessemer                                  US       AL      33.40178  -86.95444
Paducah                                   US       KY      37.08339  -88.60005
Red Chute                                 US       LA      32.55598  -93.61323
Jessup                                    US       MD      39.14927  -76.77525
Birmingham                                US       AL      33.52066  -86.80249
Delhi Hills                               US       OH      39.09284  -84.61272
Turpin Hills                              US       OH      39.11006  -84.37994
Lugoff                                    US       SC      34.22737  -80.68925
Buda                                      US       TX      30.08521  -97.84028
Boaz                                      US       AL      34.20065  -86.16637
Brewton                                   US       AL      31.10518  -87.07219
Brook Highland                            US       AL      33.43566  -86.67388
Cahaba Heights                            US       AL      33.464    -86.73193
Calera                                    US       AL      33.1029   -86.7536
Center Point                              US       AL      33.64566  -86.6836
Chelsea                                   US       AL      33.34011  -86.63026
Chickasaw                                 US       AL      30.7638   -88.07472
Childersburg                              US       AL      33.27817  -86.35498
Clanton                                   US       AL      32.83874  -86.62943
Clay                                      US       AL      33.7026   -86.59971
Cullman                                   US       AL      34.17482  -86.84361
Daleville                                 US       AL      31.31017  -85.71299
Danville                                  US       AL      34.41454  -87.08751
Daphne                                    US       AL      30.60353  -87.9036
Decatur                                   US       AL      34.60593  -86.98334
Demopolis                                 US       AL      32.51764  -87.8364
Dothan                                    US       AL      31.22323  -85.39049
East Florence                             US       AL      34.80953  -87.64947
Enterprise                                US       AL      31.31517  -85.85522
Eufaula                                   US       AL      31.89127  -85.14549
Fairfield                                 US       AL      33.48594  -86.91194
Fairhope                                  US       AL      30.52297  -87.90333
Florence                                  US       AL      34.79981  -87.67725
Foley                                     US       AL      30.40659  -87.6836
Forestdale                                US       AL      33.57011  -86.89638
Fort Payne                                US       AL      34.44425  -85.71969
Fultondale                                US       AL      33.60483  -86.79388
Gadsden                                   US       AL      34.01426  -86.00664
Gardendale                                US       AL      33.6601   -86.81277
Glencoe                                   US       AL      33.95704  -85.93247
Grayson Valley                            US       AL      33.64816  -86.63943
Greenville                                US       AL      31.8296   -86.61775
Gulf Shores                               US       AL      30.24604  -87.70082
Guntersville                              US       AL      34.35815  -86.2947
Hamilton                                  US       AL      34.14232  -87.98864
Hartselle                                 US       AL      34.44343  -86.93528
Harvest                                   US       AL      34.85564  -86.75083
Helena                                    US       AL      33.29622  -86.8436
Homewood                                  US       AL      33.47177  -86.80082
Hoover                                    US       AL      33.40539  -86.81138
Hueytown                                  US       AL      33.45122  -86.99666
Huntsville                                US       AL      34.73037  -86.5861
Irondale                                  US       AL      33.53816  -86.70721
Jackson                                   US       AL      31.50905  -87.89444
Jacksonville                              US       AL      33.81371  -85.76135
Jasper                                    US       AL      33.83122  -87.27751
Lake Purdy                                US       AL      33.43011  -86.68054
Lanett                                    US       AL      32.86874  -85.1905
Leeds                                     US       AL      33.54816  -86.54443
Lincoln                                   US       AL      33.61316  -86.11831
Madison                                   US       AL      34.69926  -86.74833
Meadowbrook                               US       AL      33.40205  -86.69665
Meridianville                             US       AL      34.85148  -86.57222
Midfield                                  US       AL      33.4615   -86.90888
Millbrook                                 US       AL      32.47986  -86.36192
Mobile                                    US       AL      30.69436  -88.04305
Monroeville                               US       AL      31.52794  -87.32471
Montevallo                                US       AL      33.10067  -86.86416
Montgomery                                US       AL      32.36681  -86.29997
Moody                                     US       AL      33.59094  -86.49082
Moores Mill                               US       AL      34.84398  -86.51832
Mountain Brook                            US       AL      33.50094  -86.75221
Muscle Shoals                             US       AL      34.74481  -87.66753
Northport                                 US       AL      33.22901  -87.57723
Opelika                                   US       AL      32.64541  -85.37828
Oneonta                                   US       AL      33.94815  -86.47276
Opp                                       US       AL      31.28267  -86.25551
Orange Beach                              US       AL      30.29437  -87.57359
Oxford                                    US       AL      33.61427  -85.83496
Ozark                                     US       AL      31.45906  -85.64049
Pelham                                    US       AL      33.28567  -86.80999
Pell City                                 US       AL      33.58621  -86.28609
Phenix City                               US       AL      32.47098  -85.00077
Pike Road                                 US       AL      32.28431  -86.10302
Pinson                                    US       AL      33.68899  -86.68332
Pleasant Grove                            US       AL      33.49094  -86.97027
Prattville                                US       AL      32.46402  -86.4597
Prichard                                  US       AL      30.7388   -88.07889
Rainbow City                              US       AL      33.95482  -86.04192
Roanoke                                   US       AL      33.15123  -85.37217
Robertsdale                               US       AL      30.5538   -87.71193
Russellville                              US       AL      34.50787  -87.72864
Saks                                      US       AL      33.69871  -85.83969
Saraland                                  US       AL      30.82074  -88.07056
Satsuma                                   US       AL      30.85324  -88.05611
Scottsboro                                US       AL      34.67231  -86.03415
Selma                                     US       AL      32.40736  -87.0211
Sheffield                                 US       AL      34.76509  -87.69864
Southside                                 US       AL      33.92454  -86.02247
Spanish Fort                              US       AL      30.67491  -87.91527
Sylacauga                                 US       AL      33.17317  -86.25164
Talladega                                 US       AL      33.43594  -86.1058
Tarrant                                   US       AL      33.58344  -86.77277
Theodore                                  US       AL      30.54769  -88.17528
Tillmans Corner                           US       AL      30.59019  -88.17084
Troy                                      US       AL      31.80877  -85.96995
Trussville                                US       AL      33.61983  -86.60888
Tuscaloosa                                US       AL      33.20984  -87.56917
Tuscumbia                                 US       AL      34.7312   -87.70253
Tuskegee                                  US       AL      32.42403  -85.69162
Valley                                    US       AL      32.81874  -85.17939
Vestavia Hills                            US       AL      33.44872  -86.78777
Wetumpka                                  US       AL      32.54374  -86.21191
Alma                                      US       AR      35.47787  -94.22188
Arkadelphia                               US       AR      34.12093  -93.05378
Batesville                                US       AR      35.7698   -91.64097
Beebe                                     US       AR      35.07064  -91.87959
Bella Vista                               US       AR      36.42952  -94.2316
Bella Vista                               US       AR      36.48146  -94.27326
Benton                                    US       AR      34.56454  -92.58683
Bentonville                               US       AR      36.37285  -94.20882
Berryville                                US       AR      36.36479  -93.56797
Blytheville                               US       AR      35.9273   -89.91898
Bryant                                    US       AR      34.59593  -92.48905
Cabot                                     US       AR      34.97453  -92.01653
Camden                                    US       AR      33.58456  -92.83433
Centerton                                 US       AR      36.3598   -94.28521
Clarksville                               US       AR      35.47147  -93.46657
Conway                                    US       AR      35.0887   -92.4421
Crossett                                  US       AR      33.12818  -91.96124
De Queen                                  US       AR      34.03789  -94.34132
East End                                  US       AR      34.55065  -92.34099
El Dorado                                 US       AR      33.20763  -92.66627
Farmington                                US       AR      36.04202  -94.24715
Fayetteville                              US       AR      36.06258  -94.15743
Forrest City                              US       AR      35.00815  -90.78983
Fort Smith                                US       AR      35.38592  -94.39855
Greenwood                                 US       AR      35.21565  -94.25577
Harrison                                  US       AR      36.22979  -93.10768
Heber Springs                             US       AR      35.49147  -92.03126
Helena                                    US       AR      34.52955  -90.59177
Hope                                      US       AR      33.66706  -93.59157
Hot Springs                               US       AR      34.5037   -93.05518
Hot Springs Village                       US       AR      34.66548  -93.01
Jacksonville                              US       AR      34.8662   -92.11015
Jonesboro                                 US       AR      35.8423   -90.70428
